Item,Section,Type,Sub-Type,Concealable,Prestige,Rarity,Capacity,Price
Fusil G1-4,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Common,5,3900
Fusil G1-4/C,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Common,4,3900
Fusil G2,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Common,5,3600
RS-15,Assault Rifles,Assault Rifle,"Silenced, Non-Piercing",No,Yes,Epic,2,17000
Shashka A33,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Common,5,3300
Shashka A33 Covert,Assault Rifles,Assault Rifle,"Silenced, Non-Piercing",No,Yes,Rare,3,12000
Shashka A33 Gold,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Epic,2,14400
Shashka A33 H,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Rare,3,5100
Sieger AR552 Tactical,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Common,4,4600
TAC-4 AR Auto,Assault Rifles,Assault Rifle,"Unsilenced, Non-Piercing",No,Yes,Common,4,4800
TAC-4 AR Desert,Assault Rifles,Assault Rifle,"Silenced, Non-Piercing",No,Yes,Epic,2,16100
TAC-4 AR Stealth,Assault Rifles,Assault Rifle,"Silenced, Non-Piercing",No,Yes,Rare,3,14500
TAC-4 S/A,Assault Rifles,Assault Rifle,"Silenced, Non-Piercing",No,Yes,Rare,3,12300
TAC-4 S/A Jungle,Assault Rifles,Assault Rifle,"Silenced, Non-Piercing",No,Yes,Rare,3,13300
Breaching Charge MK III,Freelancer Tools (Explosives),Remote,Explosive,Yes,No,Common,3,500
Concussion Grenade,Freelancer Tools (Explosives),Grenade,Concussion,Yes,No,Rare,1,500
Emetic Grenade,Freelancer Tools (Explosives),Grenade,Emetic,Yes,No,Rare,2,500
Flash Grenade MK III,Freelancer Tools (Explosives),Grenade,Flash,Yes,No,Common,2,500
Fragmentation Grenade,Freelancer Tools (Explosives),Grenade,Fragmentation,Yes,No,Common,2,500
ICA Explosive Phone,Freelancer Tools (Explosives),Remote,Explosive,Yes,No,Rare,1,500
ICA Impact Explosive,Freelancer Tools (Explosives),Impact,Explosive,Yes,No,Rare,2,500
ICA Micro Remote Explosive,Freelancer Tools (Explosives),Remote,Explosive,Yes,No,Rare,1,500
ICA Proximity Concussion Device MK III,Freelancer Tools (Explosives),Proximity,Concussion,Yes,No,Common,3,500
ICA Proximity Explosive MK III,Freelancer Tools (Explosives),Proximity,Explosive,Yes,No,Common,2,500
ICA Proximity Micro Explosive,Freelancer Tools (Explosives),Proximity,Explosive,Yes,No,Rare,1,500
ICA Remote Concussion Device,Freelancer Tools (Explosives),Remote,Concussion,Yes,No,Rare,2,500
ICA Remote Explosive MK III,Freelancer Tools (Explosives),Remote,Explosive,Yes,No,Rare,3,500
ICA Tripwire Mine,Freelancer Tools (Explosives),Proximity,Explosive,Yes,No,Rare,2,500
Proximity Explosive Duck,Freelancer Tools (Explosives),Proximity,Explosive,Yes,No,Common,3,500
